Grupo de problemas;Tiempo (ms)
instance_100_2_*.air;365.333
instance_100_3_*.air;327.882
instance_100_4_*.air;290.158
instance_100_5_*.air;279.249
instance_100_6_*.air;296.692
instance_100_7_*.air;285.918
instance_100_8_*.air;221.918
instance_100_9_*.air;245.178
instance_100_10_*.air;275.59
instance_100_11_*.air;252.313
instance_100_12_*.air;268.622
instance_100_13_*.air;281.413
instance_100_14_*.air;276.116
instance_100_15_*.air;252.712
instance_100_16_*.air;226.931
instance_100_17_*.air;281.13
instance_100_18_*.air;264.163
instance_100_19_*.air;276.16
instance_100_20_*.air;232.431
instance_100_21_*.air;209.636
instance_100_22_*.air;205.393
instance_100_23_*.air;242.201
instance_100_24_*.air;208.757
instance_100_25_*.air;190.684
instance_100_26_*.air;254.721
instance_100_27_*.air;219.506
instance_100_28_*.air;229.667
instance_100_29_*.air;199.403
instance_100_30_*.air;212.981
